S.No,STATE,DISTRICT,Lat,Lon,ACTUAL_1,NORMAL_1,PCTDEP_1,CAT_1,ACTUAL_2,NORMAL_2,PCTDEP_2,CAT_2,match_type,match_score
1,ANDAMAN & NICOBAR ISLANDS,NICOBAR,7.507,93.597,9.3,7.1,31%,E,444,713.3,-38%,D,EXACT,1.0
2,ANDAMAN & NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,12.833,92.863,89.6,15.2,489%,LE,1789.4,1271.8,41%,E,EXACT,1.0
3,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,11.508,92.644,23.2,10.4,123%,LE,925.5,1082.6,-15%,N,EXACT,1.0
1,ARUNACHAL PRADESH,ANJAW,28.066,96.825,0,18.3,-100%,NR,124.2,1220.8,-90%,LD,EXACT,1.0
2,ARUNACHAL PRADESH,CHANGLANG,27.363,96.341,13.3,6.9,93%,LE,865.7,990.4,-13%,N,EXACT,1.0
3,ARUNACHAL PRADESH,DIBANG VALLEY,28.7,95.88,,3.6,,ND,,880.1,,ND,EXACT,1.0
4,ARUNACHAL PRADESH,EAST KAMENG,27.586,92.923,7.3,10.5,-31%,D,1056.1,880.8,20%,E,EXACT,1.0
5,ARUNACHAL PRADESH,EAST SIANG,28.044,95.355,0,30.5,-100%,NR,1815.3,2362.4,-23%,D,EXACT,1.0
6,ARUNACHAL PRADESH,KURUNG KUMEY,28.014,93.202,2.5,4.4,-43%,D,441.4,837.9,-47%,D,EXACT,1.0
7,ARUNACHAL PRADESH,LOHIT,27.906,96.276,27.2,10.3,164%,LE,765.4,1174.7,-35%,D,EXACT,1.0
8,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,28.25,95.84,,16.3,,ND,,1725.3,,ND,EXACT,1.0
9,ARUNACHAL PRADESH,LOWER SUBANSIRI,27.562,93.787,4.3,2.7,58%,E,352.4,557.1,-37%,D,EXACT,1.0
10,ARUNACHAL PRADESH,PAPUMPARA,27.29,93.593,6.3,15.2,-58%,D,1345,1621.5,-17%,N,EXACT,1.0
