0,1,2,3,4,5,6,7,8,9,10,11
,,,,DAY: 26-09-2026,,,,PERIOD: 01-06-2026 to 26-09-2026,,,
S.No,MET.SUBDIVISION/UT/STATE/DISTRICT,,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,
,ANDAMAN & NICOBAR ISLANDS,3,,17.2,-83%,LD,1743.9,1573.4,11%,N,
1,NICOBAR,2.4,,16.8,-86%,LD,706.2,1071.9,-34%,D,
2,NORTH & MIDDLE ANDAMAN,4.3,,14.7,-71%,LD,2661.2,1847,44%,E,
3,SOUTH ANDAMAN,1.9,,20,-91%,LD,1384.1,1584.5,-13%,N,
,ARUNACHAL PRADESH,0.3,,12.8,-98%,LD,931.3,1640.6,-43%,D,
1,ANJAW,0,,9,-100%,NR,175.1,1540.5,-89%,LD,
2,CHANGLANG,3,,8.7,-66%,LD,1035.7,1324.1,-22%,D,
3,DIBANG VALLEY,,,16.8,,ND,,1162,,ND,
4,EAST KAMENG,0,,9.4,-100%,NR,1437,1214.6,18%,N,
5,EAST SIANG,0,,18.3,-100%,NR,2043.9,3111.3,-34%,D,
6,KURUNG KUMEY,0,,8.5,-100%,NR,627.7,1201.8,-48%,D,
7,LOHIT,0,,8.1,-100%,NR,904.9,1530.4,-41%,D,
8,LOWER DIBANG VALLEY,,,10.2,,ND,,2308.6,,ND,
9,LOWER SUBANSIRI,0,,2.5,-100%,NR,417.8,736.4,-43%,D,
10,PAPUMPARA,0,,23.8,-100%,NR,1729.2,2173.9,-20%,D,
11,TAWANG,0,,7.2,-100%,NR,347.4,974.7,-64%,LD,
12,TIRAP,0,,11.3,-100%,NR,1863.5,1913.5,-3%,N,
13,UPPER SIANG,0,,20.5,-100%,NR,1224.1,1773.9,-31%,D,
14,UPPER SUBANSIRI,0,,5.4,-100%,NR,359.2,940.6,-62%,LD,
15,WEST KAMENG,0.3,,9.2,-97%,LD,528.3,1663.8,-68%,LD,
16,WEST SIANG,0,,16.2,-100%,NR,625.3,1986.3,-69%,LD,
,ASSAM & MEGHALAYA,2.1,,11.9,-83%,LD,1058.7,1728.6,-39%,D,
,,,,DAY: 26-09-2026,,,,PERIOD: 01-06-2026 to 26-09-2026,,,
S.No,MET.SUBDIVISION/UT/STATE/DISTRICT,,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,
,ASSAM,1.8,,9.7,-82%,LD,1055.1,1450.5,-27%,D,
1,BAJALI,0,,19.6,-100%,NR,1062.5,2104.9,-50%,D,
2,BAKSA,0,,8.9,-100%,NR,1154,1511,-24%,D,
3,BARPETA,2,,19.6,-90%,LD,1280.3,2104.9,-39%,D,
4,BISWANATH,,,2.6,,ND,,1437.5,,ND,
5,BONGAIGAON,0,,9.6,-100%,NR,974.6,2336.6,-58%,D,
6,CACHAR,2.4,,9.7,-75%,LD,1614.1,1793.5,-10%,N,
7,CHARAIDEO,0,,7,-100%,NR,1191,1034,15%,N,
8,CHIRANG,0,,19,-100%,NR,1358.2,2377.7,-43%,D,
9,DARRANG,0,,12.4,-100%,NR,709.8,1285.5,-45%,D,
10,DHEMAJI,,,15.6,,ND,2039.2,2060.4,-1%,N,
11,DHUBRI,0.1,,16,-99%,LD,1280.8,2040,-37%,D,
12,DIBRUGARH,0,,10,-100%,NR,1105.4,1471.8,-25%,D,
13,DIMA HASAO,1.2,,9.1,-87%,LD,559.1,998,-44%,D,
