S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,0.1,10.2,-99%,LD,915.3,1565,-42%,D
2,ASSAM,4.4,8.2,-46%,D,1035.9,1394.8,-26%,D
3,MEGHALAYA,3.4,14.1,-76%,LD,1032.1,2536.8,-59%,D
4,NAGALAND,6.5,6.9,-6%,N,1068.2,974.1,10%,N
5,MANIPUR,5.5,4.9,12%,N,556.9,977.7,-43%,D
6,MIZORAM,6.7,12.3,-46%,D,1254,1518.7,-17%,N
7,TRIPURA,6.7,7.2,-7%,N,1115.5,1309.3,-15%,N
8,SIKKIM,3.1,10.2,-70%,LD,1691.4,1571.8,8%,N
9,WEST BENGAL,6.7,8,-16%,N,1240.6,1242.3,0%,N
10,JHARKHAND,2.6,4.9,-47%,D,872.1,955.8,-9%,N
11,BIHAR,0.4,5.6,-92%,LD,584.6,925.5,-37%,D
1,UTTAR PRADESH,2.9,4.1,-29%,D,681,715.8,-5%,N
2,UTTARAKHAND,0.1,3.9,-99%,LD,1157.8,1128.2,3%,N
3,HARYANA,0,2,-100%,NR,317.5,411.7,-23%,D
4,CHANDIGARH (UT),0,0.1,-100%,NR,715.4,820.9,-13%,N
5,DELHI (UT),0,1.6,-100%,NR,562.7,526.8,7%,N
6,PUNJAB,0,1.1,-100%,NR,254.2,418.1,-39%,D
7,HIMACHAL PRADESH,0,3.8,-100%,NR,636.4,705.5,-10%,N
8,JAMMU & KASHMIR (UT),0,1.1,-100%,NR,525.8,523.5,0%,N
9,LADAKH (UT),0,0.3,-100%,NR,49.4,20.2,145%,LE
10,RAJASTHAN,0.7,0.8,-10%,N,335.2,424.3,-21%,D
1,ODISHA,7.4,6.9,7%,N,1286.7,1091.1,18%,N
2,MADHYA PRADESH,5.4,3.9,38%,E,860.2,917.9,-6%,N
3,GUJARAT,2.2,3,-28%,D,629.3,680,-7%,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),5.7,9.9,-43%,D,2950.1,2104.7,40%,E
5,GOA,0.2,7.9,-97%,LD,1895.4,2913.7,-35%,D
6,MAHARASHTRA,1,5.8,-84%,LD,778.6,939.6,-17%,N
7,CHHATTISGARH,6.6,5.9,13%,N,1028.6,1085.9,-5%,N
1,ANDAMAN & NICOBAR ISLANDS (UT),22.2,17.4,28%,E,1606.9,1494.1,8%,N
2,ANDHRA PRADESH,17.4,7.1,146%,LE,282.4,468.1,-40%,D
3,TELANGANA,6.2,7.1,-12%,N,543.6,683.4,-20%,D
4,TAMILNADU,11,3.7,198%,LE,229.3,285.2,-20%,D
5,PUDUCHERRY (UT),13.2,5.1,158%,LE,227.6,372.1,-39%,D
6,KARNATAKA,4,5.7,-31%,D,536.5,774,-31%,D
7,KERALA,5,8.8,-43%,D,1394.5,1935,-28%,D
8,LAKSHADWEEP (UT),4.4,5.6,-22%,D,691.9,980.5,-29%,D
