State,District,Lat,Lon
ANDAMAN & NICOBAR ISLANDS,NICOBAR,7.507,93.597
ANDAMAN & NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,12.833,92.863
ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,11.508,92.644
ANDHRA PRADESH,ANAKAPALLI,17.691,83.003
ANDHRA PRADESH,BAPATLA,15.904,80.467
ANDHRA PRADESH,DR B R AMBEDKAR KONASEEMA,16.605,82.018
ANDHRA PRADESH,EAST GODAVARI,17.27,81.896
ANDHRA PRADESH,ELURU,16.71,81.095
ANDHRA PRADESH,GUNTUR,16.293,80.079
ANDHRA PRADESH,KAKINADA,16.989,82.247
ANDHRA PRADESH,KRISHNA,16.556,80.798
ANDHRA PRADESH,NTR DISTRICT,16.514079,80.631795
ANDHRA PRADESH,PALNADU,16.577,79.738
ANDHRA PRADESH,PARVATHIPURAM MANYAM,18.783,83.426
ANDHRA PRADESH,PRAKASAM,15.616,79.516
ANDHRA PRADESH,SPSR NELLORE,14.442,79.987
ANDHRA PRADESH,SRI ALLURI SITHARAMARAJU DISTRICT,#N/A,#N/A
ANDHRA PRADESH,SRIKAKULAM,18.599,84.024
ANDHRA PRADESH,VISHAKHAPATNAM,17.725142,83.294196
ANDHRA PRADESH,VIZIANAGARAM,18.475,83.385
ANDHRA PRADESH,WEST GODAVARI,16.937,81.384
ARUNACHAL PRADESH,ANJAW,28.066,96.825
ARUNACHAL PRADESH,CHANGLANG,27.363,96.341
ARUNACHAL PRADESH,DIBANG VALLEY,28.7,95.88
ARUNACHAL PRADESH,EAST KAMENG,27.586,92.923
ARUNACHAL PRADESH,EAST SIANG,28.044,95.355
ARUNACHAL PRADESH,KURUNG KUMEY,28.014,93.202
ARUNACHAL PRADESH,LOHIT,27.906,96.276
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,28.25,95.84
ARUNACHAL PRADESH,LOWER SUBANSIRI,27.562,93.787
ARUNACHAL PRADESH,PAPUMPARA,27.29,93.593
ARUNACHAL PRADESH,TAWANG,27.662,91.95
ARUNACHAL PRADESH,TIRAP,27.028,95.532
ARUNACHAL PRADESH,UPPER SIANG,28.834,94.915
ARUNACHAL PRADESH,UPPER SUBANSIRI,28.291,93.933
ARUNACHAL PRADESH,WEST KAMENG,27.298,92.39
ARUNACHAL PRADESH,WEST SIANG,28.159,94.625
