State,District,Actual,Normal,Dept,Category,Cumulative_Actual,Cumulative_Normal,Cumulative_Dept,Cumulative_Category,Source_Page,SNo,Data_Date
ANDAMAN & NICOBAR ISLANDS,NICOBAR,0.0,10.0,-100.0,NR,228.6,463.0,-51.0,D,1,1,2026-07-22
ANDAMAN & NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,0.0,13.6,-100.0,NR,1206.4,803.1,50.0,E,1,2,2026-07-22
ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,4.3,10.4,-59.0,D,626.3,699.8,-11.0,N,1,3,2026-07-22
ARUNACHAL PRADESH,ANJAW,4.8,23.3,-79.0,LD,67.2,778.9,-91.0,LD,1,1,2026-07-22
ARUNACHAL PRADESH,CHANGLANG,3.2,14.6,-78.0,LD,582.9,679.3,-14.0,N,1,2,2026-07-22
ARUNACHAL PRADESH,DIBANG VALLEY,9.3,,,,0.0,666.4,-100.0,NR,1,3,2026-07-22
ARUNACHAL PRADESH,EAST KAMENG,23.4,10.6,120.0,LE,823.7,606.8,36.0,E,1,4,2026-07-22
ARUNACHAL PRADESH,EAST SIANG,0.4,37.0,-99.0,LD,1380.9,1617.3,-15.0,N,1,5,2026-07-22
ARUNACHAL PRADESH,KURUNG KUMEY,0.0,14.0,-100.0,NR,232.6,533.6,-56.0,D,1,6,2026-07-22
ARUNACHAL PRADESH,LOHIT,21.9,16.6,32.0,E,541.3,804.5,-33.0,D,1,7,2026-07-22
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,21.4,,,,27.9,1235.7,-98.0,LD,1,8,2026-07-22
ARUNACHAL PRADESH,LOWER SUBANSIRI,2.8,9.4,-70.0,LD,211.6,328.8,-36.0,D,1,9,2026-07-22
ARUNACHAL PRADESH,PAPUMPARA,52.4,21.9,139.0,LE,908.3,1171.1,-22.0,D,1,10,2026-07-22
ARUNACHAL PRADESH,TAWANG,8.9,9.6,-7.0,N,141.9,456.6,-69.0,LD,1,11,2026-07-22
ARUNACHAL PRADESH,TIRAP,35.0,22.8,54.0,E,1122.7,984.7,14.0,N,1,12,2026-07-22
ARUNACHAL PRADESH,UPPER SIANG,0.0,17.0,-100.0,NR,467.8,919.0,-49.0,D,1,13,2026-07-22
ARUNACHAL PRADESH,UPPER SUBANSIRI,0.0,7.4,-100.0,NR,214.4,479.1,-55.0,D,1,14,2026-07-22
ARUNACHAL PRADESH,WEST KAMENG,1.9,13.3,-86.0,LD,234.3,823.6,-72.0,LD,1,15,2026-07-22
ARUNACHAL PRADESH,WEST SIANG,0.0,25.0,-100.0,NR,367.7,984.3,-63.0,LD,1,16,2026-07-22
ASSAM,BAJALI,0.5,17.0,-97.0,LD,666.5,1185.3,-44.0,D,2,1,2026-07-22
ASSAM,BAKSA,4.5,13.1,-66.0,LD,713.6,856.4,-17.0,N,2,2,2026-07-22
ASSAM,BARPETA,0.7,17.0,-96.0,LD,796.3,1185.3,-33.0,D,2,3,2026-07-22
ASSAM,BISWANATH,6.7,,,,730.4,,,,2,4,2026-07-22
ASSAM,BONGAIGAON,11.6,19.2,-40.0,D,618.2,1337.6,-54.0,D,2,5,2026-07-22
ASSAM,CACHAR,31.7,15.3,107.0,LE,840.5,881.7,-5.0,N,2,6,2026-07-22
ASSAM,CHARAIDEO,30.0,9.2,226.0,LE,679.5,452.3,50.0,E,2,7,2026-07-22
ASSAM,CHIRANG,0.0,19.1,-100.0,NR,798.0,1275.8,-37.0,D,2,8,2026-07-22
ASSAM,DARRANG,52.6,6.5,709.0,LE,374.8,711.4,-47.0,D,2,9,2026-07-22
ASSAM,DHEMAJI,0.0,23.9,-100.0,NR,1269.7,1030.1,23.0,E,2,10,2026-07-22
ASSAM,DHUBRI,8.3,12.8,-35.0,D,806.4,1154.6,-30.0,D,2,11,2026-07-22
ASSAM,DIBRUGARH,14.1,14.4,-2.0,N,675.6,716.4,-6.0,N,2,12,2026-07-22
ASSAM,DIMA HASAO,11.6,4.9,137.0,LE,202.4,552.3,-63.0,LD,2,13,2026-07-22
ASSAM,GOALPARA,1.2,16.5,-93.0,LD,466.6,1063.7,-56.0,D,2,14,2026-07-22
ASSAM,GOLAGHAT,14.4,8.0,81.0,LE,399.9,490.3,-18.0,N,2,15,2026-07-22
ASSAM,HAILAKANDI,4.5,16.0,-72.0,LD,611.9,734.2,-17.0,N,2,16,2026-07-22
ASSAM,HOJAI,12.8,4.7,171.0,LE,201.5,338.9,-41.0,D,2,17,2026-07-22
ASSAM,JORHAT,4.3,9.9,-56.0,D,434.4,588.1,-26.0,D,2,18,2026-07-22
ASSAM,KAMRUP METROPOLITAN,20.5,5.5,272.0,LE,395.8,545.9,-28.0,D,2,19,2026-07-22
