State,District,Lat,Lon,Actual,Normal,Dept,Category,Cumulative_Actual,Cumulative_Normal,Cumulative_Dept,Cumulative_Category,Source_Page,SNo,Data_Date,Match_Type,Match_Score
ANDAMAN & NICOBAR ISLANDS,NICOBAR,7.507,93.597,0.0,10.0,-100.0,NR,228.6,463.0,-51.0,D,1,1,2026-07-22,EXACT,100
ANDAMAN & NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,12.833,92.863,0.0,13.6,-100.0,NR,1206.4,803.1,50.0,E,1,2,2026-07-22,EXACT,100
ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,11.508,92.644,4.3,10.4,-59.0,D,626.3,699.8,-11.0,N,1,3,2026-07-22,EXACT,100
ANDHRA PRADESH,ANAKAPALLI,17.691,83.003,0.0,7.1,-100.0,NR,159.8,238.9,-33.0,D,26,1,2026-07-22,EXACT,100
ANDHRA PRADESH,BAPATLA,15.904,80.467,0.1,6.0,-98.0,LD,97.3,179.5,-46.0,D,26,2,2026-07-22,EXACT,100
ANDHRA PRADESH,DR B R AMBEDKAR KONASEEMA,16.605,82.018,0.0,11.9,-100.0,NR,199.4,288.0,-31.0,D,26,3,2026-07-22,EXACT,100
ANDHRA PRADESH,EAST GODAVARI,17.27,81.896,6.4,7.5,-15.0,N,168.9,272.5,-38.0,D,26,4,2026-07-22,EXACT,100
ANDHRA PRADESH,ELURU,16.71,81.095,6.7,7.4,-9.0,N,221.9,325.4,-32.0,D,26,5,2026-07-22,EXACT,100
ANDHRA PRADESH,GUNTUR,16.293,80.079,0.0,7.0,-100.0,NR,176.4,213.0,-17.0,N,26,6,2026-07-22,EXACT,100
ANDHRA PRADESH,KAKINADA,16.989,82.247,4.7,5.8,-19.0,N,200.9,259.4,-23.0,D,26,7,2026-07-22,EXACT,100
ANDHRA PRADESH,KRISHNA,16.556,80.798,1.6,7.7,-80.0,LD,168.9,249.8,-32.0,D,26,8,2026-07-22,EXACT,100
ANDHRA PRADESH,NTR DISTRICT,16.514079,80.631795,2.8,7.2,-62.0,LD,179.7,262.3,-32.0,D,26,9,2026-07-22,EXACT,100
ANDHRA PRADESH,PALNADU,16.577,79.738,0.0,4.8,-100.0,NR,161.8,195.4,-17.0,N,26,10,2026-07-22,EXACT,100
ANDHRA PRADESH,PARVATHIPURAM MANYAM,18.783,83.426,2.8,8.4,-67.0,LD,159.2,301.4,-47.0,D,26,11,2026-07-22,EXACT,100
ANDHRA PRADESH,PRAKASAM,15.616,79.516,0.3,3.6,-92.0,LD,73.1,130.2,-44.0,D,26,12,2026-07-22,EXACT,100
ANDHRA PRADESH,SPSR NELLORE,14.442,79.987,0.0,3.3,-100.0,NR,95.1,117.0,-19.0,N,26,13,2026-07-22,EXACT,100
ANDHRA PRADESH,SRI ALLURI SITHARAMARAJU DISTRICT,,,5.4,9.6,-43.0,D,167.6,350.7,-52.0,D,26,14,2026-07-22,EXACT,100
ANDHRA PRADESH,SRIKAKULAM,18.599,84.024,2.7,8.9,-70.0,LD,158.6,271.9,-42.0,D,26,15,2026-07-22,EXACT,100
ANDHRA PRADESH,VISHAKHAPATNAM,17.725142,83.294196,0.0,4.6,-100.0,NR,137.6,208.8,-34.0,D,26,16,2026-07-22,EXACT,100
ANDHRA PRADESH,VIZIANAGARAM,18.475,83.385,0.5,6.9,-93.0,LD,196.2,257.2,-24.0,D,26,17,2026-07-22,EXACT,100
ANDHRA PRADESH,WEST GODAVARI,16.937,81.384,0.3,8.5,-96.0,LD,80.7,271.9,-70.0,LD,26,18,2026-07-22,EXACT,100
ARUNACHAL PRADESH,ANJAW,28.066,96.825,4.8,23.3,-79.0,LD,67.2,778.9,-91.0,LD,1,1,2026-07-22,EXACT,100
ARUNACHAL PRADESH,CHANGLANG,27.363,96.341,3.2,14.6,-78.0,LD,582.9,679.3,-14.0,N,1,2,2026-07-22,EXACT,100
ARUNACHAL PRADESH,DIBANG VALLEY,28.7,95.88,9.3,,,,0.0,666.4,-100.0,NR,1,3,2026-07-22,EXACT,100
ARUNACHAL PRADESH,EAST KAMENG,27.586,92.923,23.4,10.6,120.0,LE,823.7,606.8,36.0,E,1,4,2026-07-22,EXACT,100
ARUNACHAL PRADESH,EAST SIANG,28.044,95.355,0.4,37.0,-99.0,LD,1380.9,1617.3,-15.0,N,1,5,2026-07-22,EXACT,100
ARUNACHAL PRADESH,KURUNG KUMEY,28.014,93.202,0.0,14.0,-100.0,NR,232.6,533.6,-56.0,D,1,6,2026-07-22,EXACT,100
ARUNACHAL PRADESH,LOHIT,27.906,96.276,21.9,16.6,32.0,E,541.3,804.5,-33.0,D,1,7,2026-07-22,EXACT,100
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,28.25,95.84,21.4,,,,27.9,1235.7,-98.0,LD,1,8,2026-07-22,EXACT,100
ARUNACHAL PRADESH,LOWER SUBANSIRI,27.562,93.787,2.8,9.4,-70.0,LD,211.6,328.8,-36.0,D,1,9,2026-07-22,EXACT,100
ARUNACHAL PRADESH,PAPUMPARA,27.29,93.593,52.4,21.9,139.0,LE,908.3,1171.1,-22.0,D,1,10,2026-07-22,EXACT,100
ARUNACHAL PRADESH,TAWANG,27.662,91.95,8.9,9.6,-7.0,N,141.9,456.6,-69.0,LD,1,11,2026-07-22,EXACT,100
ARUNACHAL PRADESH,TIRAP,27.028,95.532,35.0,22.8,54.0,E,1122.7,984.7,14.0,N,1,12,2026-07-22,EXACT,100
ARUNACHAL PRADESH,UPPER SIANG,28.834,94.915,0.0,17.0,-100.0,NR,467.8,919.0,-49.0,D,1,13,2026-07-22,EXACT,100
ARUNACHAL PRADESH,UPPER SUBANSIRI,28.291,93.933,0.0,7.4,-100.0,NR,214.4,479.1,-55.0,D,1,14,2026-07-22,EXACT,100
ARUNACHAL PRADESH,WEST KAMENG,27.298,92.39,1.9,13.3,-86.0,LD,234.3,823.6,-72.0,LD,1,15,2026-07-22,EXACT,100
ARUNACHAL PRADESH,WEST SIANG,28.159,94.625,0.0,25.0,-100.0,NR,367.7,984.3,-63.0,LD,1,16,2026-07-22,EXACT,100
ASSAM,BAJALI,26.47,91,0.5,17.0,-97.0,LD,666.5,1185.3,-44.0,D,2,1,2026-07-22,EXACT,100
ASSAM,BAKSA,26.661,91.353,4.5,13.1,-66.0,LD,713.6,856.4,-17.0,N,2,2,2026-07-22,EXACT,100
ASSAM,BARPETA,26.34,91.005,0.7,17.0,-96.0,LD,796.3,1185.3,-33.0,D,2,3,2026-07-22,EXACT,100
ASSAM,BISWANATH,26.829,93.383,6.7,,,,730.4,,,,2,4,2026-07-22,EXACT,100
ASSAM,BONGAIGAON,26.36,90.62,11.6,19.2,-40.0,D,618.2,1337.6,-54.0,D,2,5,2026-07-22,EXACT,100
ASSAM,CACHAR,24.813,92.855,31.7,15.3,107.0,LE,840.5,881.7,-5.0,N,2,6,2026-07-22,EXACT,100
ASSAM,CHARAIDEO,27.063,95.046,30.0,9.2,226.0,LE,679.5,452.3,50.0,E,2,7,2026-07-22,EXACT,100
ASSAM,CHIRANG,26.66,90.599,0.0,19.1,-100.0,NR,798.0,1275.8,-37.0,D,2,8,2026-07-22,EXACT,100
ASSAM,DARRANG,26.448,92.029,52.6,6.5,709.0,LE,374.8,711.4,-47.0,D,2,9,2026-07-22,EXACT,100
ASSAM,DHEMAJI,27.59,94.775,0.0,23.9,-100.0,NR,1269.7,1030.1,23.0,E,2,10,2026-07-22,EXACT,100
ASSAM,DHUBRI,26.01,90.033,8.3,12.8,-35.0,D,806.4,1154.6,-30.0,D,2,11,2026-07-22,EXACT,100
ASSAM,DIBRUGARH,27.367,95.053,14.1,14.4,-2.0,N,675.6,716.4,-6.0,N,2,12,2026-07-22,EXACT,100
ASSAM,DIMA HASAO,25.378,93.031,11.6,4.9,137.0,LE,202.4,552.3,-63.0,LD,2,13,2026-07-22,EXACT,100
ASSAM,GOALPARA,26.052,90.605,1.2,16.5,-93.0,LD,466.6,1063.7,-56.0,D,2,14,2026-07-22,EXACT,100
ASSAM,GOLAGHAT,26.475,93.835,14.4,8.0,81.0,LE,399.9,490.3,-18.0,N,2,15,2026-07-22,EXACT,100
ASSAM,HAILAKANDI,24.498,92.588,4.5,16.0,-72.0,LD,611.9,734.2,-17.0,N,2,16,2026-07-22,EXACT,100
ASSAM,HOJAI,25.978,92.98,12.8,4.7,171.0,LE,201.5,338.9,-41.0,D,2,17,2026-07-22,EXACT,100
