State,District,Lat,Lon,Actual,Normal,Dept,Category,Cumulative_Actual,Cumulative_Normal,Cumulative_Dept,Cumulative_Category,Source_Page,SNo,Data_Date,Match_Type,Match_Score
CHANDIGARH,CHANDIGARH,30.729,76.781,,,,,,,,,,,,UNMATCHED,
KARNATAKA,BENGALURU URBAN,12.952,77.594,,,,,,,,,,,,UNMATCHED,
DELHI,CENTRAL DELHI,28.694,77.216,,,,,,,,,,,,UNMATCHED,
DELHI,EAST DELHI,28.62,77.296,,,,,,,,,,,,UNMATCHED,
DELHI,NEW DELHI,28.577,77.147,,,,,,,,,,,,UNMATCHED,
DELHI,NORTH DELHI,28.794,77.108,,,,,,,,,,,,UNMATCHED,
DELHI,NORTH EAST DELHI,28.719,77.257,,,,,,,,,,,,UNMATCHED,
DELHI,NORTH WEST DELHI,28.727,77.042,,,,,,,,,,,,UNMATCHED,
DELHI,SOUTH DELHI,28.483,77.191,,,,,,,,,,,,UNMATCHED,
DELHI,SOUTH EAST DELHI,28.543,77.274,,,,,,,,,,,,UNMATCHED,
DELHI,SOUTH WEST DELHI,28.576,76.967,,,,,,,,,,,,UNMATCHED,
DELHI,WEST DELHI,28.656,77.065,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,ANANTNAG,33.827,75.321,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,BADGAM,33.925,74.64,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,BANDIPORA,34.491,74.875,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,BARAMULA,34.165,74.309,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,DODA,33.09,75.707,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,GANDERBAL,34.282,75.025,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,JAMMU,32.798,74.749,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,KATHUA,32.577,75.589,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,KISTWAR,33.553,75.966,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,KULGAM,33.603,74.843,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,KUPWARA,34.523,74.204,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,POONCH,33.803,74.014,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,PULWAMA,33.94,75.017,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,RAJOURI,33.273,74.38,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,RAMBAN,33.323,75.195,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,REASI,33.229,74.841,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,SAMBA,32.578,75.094,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,SHOPIAN,33.733,74.818,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,SRINAGAR,34.116,74.927,,,,,,,,,,,,UNMATCHED,
JAMMU & KASHMIR,UDHAMPUR,32.894,75.303,,,,,,,,,,,,UNMATCHED,
KARNATAKA,BAGALKOTE,16.221,75.626,,,,,,,,,,,,UNMATCHED,
KARNATAKA,BALLARI,15.11,76.533,,,,,,,,,,,,UNMATCHED,
KARNATAKA,BELAGAVI,16.121,74.824,,,,,,,,,,,,UNMATCHED,
KARNATAKA,BENGALURU RURAL,13.227,77.574,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,BHOPAL,23.47,77.391,,,,,,,,,,,,UNMATCHED,
KARNATAKA,BIDAR,17.952,77.225,,,,,,,,,,,,UNMATCHED,
KARNATAKA,CHAMARAJANAGAR,11.958,77.098,,,,,,,,,,,,UNMATCHED,
KARNATAKA,CHIKABALLAPURA,13.578,77.835,,,,,,,,,,,,UNMATCHED,
KARNATAKA,CHIKKAMAGALURU,13.455,75.691,,,,,,,,,,,,UNMATCHED,
KARNATAKA,CHITRADURGA,14.169,76.515,,,,,,,,,,,,UNMATCHED,
KARNATAKA,DAKSHINA KANNADA,12.853,75.251,,,,,,,,,,,,UNMATCHED,
KARNATAKA,DAVANGERE,14.409,75.954,,,,,,,,,,,,UNMATCHED,
KARNATAKA,DHARWAD,15.39,75.152,,,,,,,,,,,,UNMATCHED,
KARNATAKA,GADAG,15.431,75.665,,,,,,,,,,,,UNMATCHED,
KARNATAKA,HASSAN,12.996,76.108,,,,,,,,,,,,UNMATCHED,
KARNATAKA,HAVERI,14.739,75.417,,,,,,,,,,,,UNMATCHED,
KARNATAKA,KALABURAGI,17.26,76.869,,,,,,,,,,,,UNMATCHED,
KARNATAKA,KODAGU,12.325,75.801,,,,,,,,,,,,UNMATCHED,
KARNATAKA,KOLAR,13.14,78.218,,,,,,,,,,,,UNMATCHED,
KARNATAKA,KOPPAL,15.563,76.222,,,,,,,,,,,,UNMATCHED,
KARNATAKA,MANDYA,12.611,76.797,,,,,,,,,,,,UNMATCHED,
KARNATAKA,MYSURU,12.211,76.44,,,,,,,,,,,,UNMATCHED,
KARNATAKA,RAICHUR,16.091,76.892,,,,,,,,,,,,UNMATCHED,
KARNATAKA,RAMANAGARA,12.679,77.335,,,,,,,,,,,,UNMATCHED,
KARNATAKA,SHIVAMOGGA,14.043,75.22,,,,,,,,,,,,UNMATCHED,
KARNATAKA,TUMAKURU,13.522,76.946,,,,,,,,,,,,UNMATCHED,
KARNATAKA,UDUPI,13.498,74.872,,,,,,,,,,,,UNMATCHED,
KARNATAKA,UTTARA KANNADA,14.792,74.62,,,,,,,,,,,,UNMATCHED,
KARNATAKA,VIJAYANAGARA,15.139,76.921,,,,,,,,,,,,UNMATCHED,
KARNATAKA,VIJAYAPURA,16.794,75.953,,,,,,,,,,,,UNMATCHED,
KARNATAKA,YADGIR,16.627,76.913,,,,,,,,,,,,UNMATCHED,
LADAKH,KARGIL,33.886,76.508,,,,,,,,,,,,UNMATCHED,
LADAKH,LADAKH (LEH),35.036,76.806,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,AGAR-MALWA,23.815,76.089,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,ALIRAJPUR,22.315,74.364,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,ANUPPUR,23.057,81.682,,,,,,,,,,,,UNMATCHED,
MADHYA PRADESH,ASHOKNAGAR,24.609,77.875,,,,,,,,,,,,UNMATCHED,
